#     Tempo(s)     Vno'001(V)      Vno'002(V)      IcompV1(A)   
 1.00000000e-10 -4.99000000e+00 -2.49500000e+00  2.49500000e-03 
 5.00000000e-06  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 1.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 1.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 2.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 2.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 3.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 3.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 4.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 4.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 5.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 5.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 6.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 6.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 7.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 7.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 8.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 8.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 9.00000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 9.50000000e-05  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 1.00000000e-04  5.00000000e+00  2.50000000e+00 -2.50000000e-03 
 1.05000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.10000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.15000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.20000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.25000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.30000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.35000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
 1.40000000e-04 -5.00000000e+00 -2.50000000e+00  2.50000000e-03 
